Designator,Mid X,Mid Y,Rotation,Layer
AWG1,52.39,6.26,0.0,top
AWG2,-59.374712,-9.222208,0.0,top
C1,-70.874712,-2.982208,180.0,top
C2,-70.174712,3.277792,90.0,top
C3,-60.174712,-4.887208,270.0,top
C4,64.709285,-0.214625,180.0,top
C5,65.786,-7.874,270.0,top
C6,54.009285,1.690375,90.0,top
D1_2,-56.134,12.192,0.0,top
D1,52.223,-13.208,0.0,top
J1,-0.830716,42.950375,0.0,top
J2,-0.906716,-30.389,0.0,top
J3,10.477839,-57.421224,90.0,top
J5,-16.934716,-57.807625,90.0,top
L1,-63.16,3.0,180.0,top
L2,57.309286,-5.274625,0.0,top
R1,-70.874712,-4.887208,0.0,top
R101,11.221284,-54.505625,0.0,top
R102,10.967284,-52.473625,180.0,top
R2,-70.874712,-6.792208,180.0,top
R3,64.709285,1.690375,180.0,top
R4,64.709285,3.595375,0.0,top
SW101,17.609284,-56.283625,270.0,top
U1,-65.074712,-4.887208,0.0,top
U2,-0.444161,-68.851224,90.0,top
U3,58.909284,1.690375,180.0,top
